cover,pages,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Hardcover,176,2010,4.2,22048,12668,4170,3042,1274,894,1
Board Book,28,1997,4.17,22044,10606,6140,4106,878,314,1
Hardcover,32,1983,4.13,22041,10051,6043,4894,879,174,1
Paperback,371,2004,3.8899999999999997,21855,7740,6890,5019,1430,776,0
Board Book,18,2007,4.28,21839,11668,5849,3280,765,277,1
Hardcover,32,2000,3.9899999999999998,21754,7924,7406,5025,1039,360,0
Paperback,64,2003,4,21740,8598,6393,5264,1179,306,0
Hardcover,48,1997,3.9899999999999998,21736,7915,7400,5023,1040,358,0
Paperback,64,2004,4.25,21689,11655,5445,3393,830,366,1
Paperback,32,2003,4.09,21244,9127,6725,4050,956,386,1
Paperback,254,1990,4.74,20598,16132,3602,767,69,28,1
Hardcover,32,2005,4.24,20542,10699,5232,3669,720,222,1
Hardcover,48,1993,4.01,20415,7752,6768,4583,1005,307,1
Hardcover,48,2004,4.01,20391,7746,6758,4575,1005,307,1
Hardcover,56,2011,4.44,20328,12778,4791,1979,536,244,1
Paperback,20,1982,4.29,20164,11345,4426,3573,623,197,1
Hardcover,64,1989,4.22,20056,10924,4516,3186,884,546,1
Hardcover,40,2006,4.26,20029,10296,5622,3314,611,186,1
Paperback,256,1997,3.9699999999999998,19924,7308,6914,3992,1124,586,0
Paperback,32,2006,4.09,19719,8832,5543,3965,1047,332,1
Hardcover,24,2001,4.35,19637,12069,3727,2857,665,319,1
Hardcover,32,2018,4.34,19499,10731,5504,2614,441,209,1
Paperback,32,1992,4.18,19393,9181,5640,3674,664,234,1
Hardcover,32,2016,4.06,19188,8959,4827,3631,1212,559,1
Hardcover,38,2001,4.16,19182,9112,5517,3390,823,340,1
Paperback,145,1999,3.84,19018,5565,6645,5228,1296,284,0
Paperback,32,2007,4.2,18958,9423,5082,3439,764,250,1
Hardcover,32,1990,4.07,18898,8284,5436,3881,851,446,1
Paperback,32,1978,4.31,18830,10772,4129,3099,575,255,1
Hardcover,290,2012,3.96,18139,5700,7230,4175,784,250,0
Board Book,32,1998,4.22,18131,9023,5089,3267,574,178,1
Paperback,48,2003,4.2,18059,9114,4593,3403,727,222,1
Paperback,187,2007,4.17,18033,9501,4062,2958,981,531,1
Board Book,32,1995,4.19,18014,8937,4784,3257,787,249,1
Paperback,704,2006,4.24,17984,9154,5423,2368,733,306,1
Paperback,96,2005,3.8699999999999997,17964,7812,3891,3586,1521,1154,0
Ebook,704,2006,4.24,17956,9136,5417,2365,732,306,1
Paperback,24,2001,4.21,17914,9025,4652,3352,658,227,1
Hardcover,24,2000,4.23,17900,9439,4241,3381,646,193,1
Hardcover,20,1950,4.26,17899,10065,3830,2985,707,312,1
Hardcover,54,1957,4.28,17894,9603,4568,3008,533,182,1
Hardcover,32,2007,4.29,17790,9694,4777,2460,568,291,1
Paperback,24,2000,4.22,17716,9208,4442,3146,654,266,1
Paperback,176,1994,4.72,17584,13616,3143,750,59,16,1
Hardcover,384,2009,3.9499999999999997,17477,5405,7031,4049,783,209,0
Paperback,48,2004,4.25,17329,9186,4257,3090,599,197,1
Hardcover,24,1999,4.08,17155,7526,4696,3898,791,244,1
Hardcover,32,2000,4.23,17132,8599,4930,2746,608,249,1
Hardcover,32,2002,4.23,17056,9255,3914,2776,740,371,1
Paperback,48,2003,4.159999999999999,16965,7469,5627,3142,598,129,1
Paperback,32,2019,4.26,16835,8723,4589,2847,519,157,1
Hardcover,40,1999,4.13,16802,7719,5025,2960,708,390,1
Hardcover,32,1988,4.109999999999999,16679,7517,4579,3683,741,159,1
Paperback,224,2005,4.319999999999999,16665,9582,4126,1996,619,342,1
Hardcover,32,2005,4.22,16633,8664,4244,2751,705,269,1
Board Book,48,1997,4.1499999999999995,16453,8111,3949,3354,796,243,1
Hardcover,32,2004,4.48,16386,11091,3019,1638,369,269,1
Paperback,24,1983,4.09,16373,7448,4277,3496,899,253,1
Hardcover,40,2001,4.53,16296,11198,3216,1416,309,157,1
Paperback,192,1992,4.4,16254,9340,4649,1884,268,113,1
Paperback,32,2003,3.7800000000000002,16249,4374,5317,5312,1093,153,0
Paperback,40,1996,4.24,16205,7945,4760,2984,420,96,1
Paperback,242,2001,3.8099999999999996,16166,4359,5904,4648,1014,241,0
Board Book,26,1997,4.12,16068,7190,4775,3175,716,212,1
Paperback,40,2001,4.04,15795,7066,4288,2940,1021,480,1
Paperback,209,2005,3.4499999999999997,15672,3758,3919,4688,2227,1080,0
Hardcover,64,1994,4,15595,6787,4149,3102,1028,529,0
Board Book,26,1996,4.06,15515,6797,4241,3280,929,268,1
Board Book,34,1999,4.25,15497,8031,4202,2519,558,187,1
Paperback,32,1993,4.21,15477,7615,4467,2634,588,173,1
